DIA,MES,ANNO,HR,TEMP
9,11,2018,94.57,31.91
9,11,2018,94.53,31.91
9,11,2018,94.57,31.91
9,11,2018,94.62,31.93
9,11,2018,94.68,31.93
9,11,2018,94.8,31.93
9,11,2018,94.87,31.93
9,11,2018,94.73,31.93
9,11,2018,94.63,31.93
9,11,2018,94.58,31.93
9,11,2018,94.57,31.93
9,11,2018,94.58,31.93
9,11,2018,94.62,31.93
9,11,2018,94.75,31.93
9,11,2018,94.88,31.93
9,11,2018,95.08,31.93
9,11,2018,95.27,31.93
9,11,2018,95.38,31.93
9,11,2018,95.52,31.93
9,11,2018,95.65,31.93
9,11,2018,95.77,31.93
9,11,2018,95.9,31.93
9,11,2018,96.05,31.93
9,11,2018,96.22,31.93
9,11,2018,96.4,31.93
9,11,2018,96.6,31.93
9,11,2018,96.77,31.93
9,11,2018,96.92,31.93
9,11,2018,97.07,31.93
9,11,2018,97.2,31.93
9,11,2018,97.28,31.93
9,11,2018,97.35,31.91
9,11,2018,97.33,31.91
9,11,2018,97.28,31.91
9,11,2018,97.22,31.91
9,11,2018,97,31.93
9,11,2018,96.83,31.93
9,11,2018,96.72,31.93
9,11,2018,96.53,31.93
9,11,2018,96.47,31.93
9,11,2018,96.45,31.93
9,11,2018,96.47,31.93
9,11,2018,96.65,31.93
9,11,2018,96.82,31.93
9,11,2018,96.97,31.93
9,11,2018,97.1,31.93
9,11,2018,97.25,31.93
9,11,2018,97.4,31.91
9,11,2018,97.55,31.91
9,11,2018,97.7,31.91
9,11,2018,97.9,31.91
9,11,2018,98.12,31.93
9,11,2018,98.33,31.93
9,11,2018,98.55,31.93
9,11,2018,98.77,31.93
9,11,2018,99,31.93
9,11,2018,99.23,31.93
9,11,2018,99.55,31.93
9,11,2018,99.9,31.93
9,11,2018,100.18,31.95
9,11,2018,100.45,31.95
9,11,2018,100.7,31.95
9,11,2018,100.95,31.95
9,11,2018,100.98,31.93
9,11,2018,101.02,31.93
9,11,2018,101.03,31.93
9,11,2018,101.03,31.93
9,11,2018,101,31.91
9,11,2018,100.93,31.91
9,11,2018,100.85,31.91
9,11,2018,100.73,31.91
9,11,2018,100.62,31.95
9,11,2018,100.43,31.95
9,11,2018,100.23,31.95
9,11,2018,100.03,31.95
9,11,2018,99.82,31.91
9,11,2018,99.6,31.91
9,11,2018,99.43,31.91
9,11,2018,99.27,31.91
9,11,2018,99.12,31.93
9,11,2018,99,31.93
9,11,2018,98.87,31.93
9,11,2018,98.75,31.93
9,11,2018,98.63,31.93
9,11,2018,98.5,31.93
9,11,2018,98.35,31.93
9,11,2018,98.22,31.93
9,11,2018,98.08,31.95
9,11,2018,97.92,31.95
9,11,2018,97.7,31.95
9,11,2018,97.53,31.95
9,11,2018,97.38,31.93
9,11,2018,97.32,31.93
9,11,2018,97.32,31.93
9,11,2018,97.48,31.93
9,11,2018,97.8,31.91
9,11,2018,98.05,31.91
9,11,2018,98.25,31.91
9,11,2018,98.52,31.91
9,11,2018,98.67,31.93
9,11,2018,98.77,31.93
9,11,2018,98.85,31.93
9,11,2018,98.77,31.93
9,11,2018,98.7,31.95
9,11,2018,98.63,31.95
9,11,2018,98.55,31.95
9,11,2018,98.42,31.95
9,11,2018,98.27,31.95
9,11,2018,98.12,31.95
9,11,2018,97.98,31.95
9,11,2018,97.82,31.95
9,11,2018,97.63,31.95
9,11,2018,97.47,31.95
9,11,2018,97.33,31.95
9,11,2018,97.22,31.95
9,11,2018,97.1,31.93
